"member_name","term","coord1D","party"
"Legislator 235",17,0.30803045630455,NA
"Legislator 236",17,0.660569667816162,NA
"Legislator 237",17,0.369996845722198,NA
"Legislator 238",17,0.550146341323853,NA
"Legislator 239",17,0.853254437446594,NA
"Legislator 24",17,-0.0513048730790615,NA
"Legislator 240",17,0.723495244979858,NA
"Legislator 241",17,-0.597164392471313,NA
"Legislator 242",17,0.675793886184692,NA
"Legislator 243",17,0.740836381912231,NA
"Legislator 244",17,0.0852281227707863,NA
"Legislator 245",17,0.382724970579147,NA
"Legislator 246",17,-0.239542409777641,NA
"Legislator 247",17,0.168829873204231,NA
"Legislator 248",17,0.726978242397308,NA
"Legislator 249",17,0.537346184253693,NA
"Legislator 25",17,-0.0834155157208443,NA
"Legislator 250",17,-0.53048449754715,NA
"Legislator 251",17,0.64938485622406,NA
"Legislator 252",17,0.524714648723602,NA
"Legislator 253",17,0.328450679779053,NA
"Legislator 254",17,0.177983358502388,NA
"Legislator 255",17,-0.263126850128174,NA
"Legislator 256",17,-0.614212691783905,NA
"Legislator 257",17,0.135926380753517,NA
"Legislator 258",17,0.454363971948624,NA
"Legislator 259",17,0.803968608379364,NA
"Legislator 26",17,-0.0604670569300652,NA
"Legislator 260",17,0.625117301940918,NA
"Legislator 261",17,0.335677236318588,NA
"Legislator 262",17,0.552613019943237,NA
"Legislator 263",17,0.541165769100189,NA
"Legislator 264",17,0.320469051599503,NA
"Legislator 265",17,0.0042437263764441,NA
"Legislator 266",17,0.379198282957077,NA
"Legislator 267",17,0.381271451711655,NA
"Legislator 268",17,-0.0061876829713583,NA
"Legislator 269",17,-0.289497315883636,NA
"Legislator 27",17,0.450302630662918,NA
"Legislator 270",17,0.423998951911926,NA
"Legislator 271",17,-0.596172451972961,NA
"Legislator 272",17,-0.316315442323685,NA
"Legislator 273",17,-0.49791494011879,NA
"Legislator 274",17,0.628348290920258,NA
"Legislator 275",17,0.217276826500893,NA
"Legislator 276",17,0.231701299548149,NA
"Legislator 277",17,-0.48030748963356,NA
"Legislator 278",17,0.64055734872818,NA
"Legislator 279",17,0.386399269104004,NA
"Legislator 28",17,-0.638686835765839,NA
"Legislator 280",17,-0.847374260425568,NA
"Legislator 281",17,0.135509818792343,NA
"Legislator 282",17,0.168858841061592,NA
"Legislator 283",17,0.0701182931661606,NA
"Legislator 284",17,-0.386574000120163,NA
"Legislator 285",17,0.079483650624752,NA
"Legislator 286",17,0.556194424629211,NA
"Legislator 287",17,0.000780082948040217,NA
"Legislator 288",17,0.369201749563217,NA
"Legislator 289",17,0.523966729640961,NA
"Legislator 29",17,0.735989332199097,NA
"Legislator 290",17,0.369612753391266,NA
"Legislator 291",17,-0.00580655317753553,NA
"Legislator 292",17,0.144639924168587,NA
"Legislator 293",17,0,NA
"Legislator 294",17,0,NA
"Legislator 295",17,0,NA
"Legislator 296",17,0,NA
"Legislator 297",17,0,NA
"Legislator 298",17,0,NA
"Legislator 299",17,0,NA
"Legislator 3",17,-0.576844751834869,NA
"Legislator 30",17,-0.0795837864279747,NA
"Legislator 300",17,0,NA
"Legislator 301",17,0,NA
"Legislator 302",17,0,NA
"Legislator 303",17,0,NA
"Legislator 304",17,0,NA
"Legislator 305",17,0,NA
"Legislator 306",17,0,NA
"Legislator 307",17,0,NA
"Legislator 31",17,0.215692669153214,NA
"Legislator 32",17,0.00126732524950057,NA
"Legislator 33",17,-0.330712527036667,NA
"Legislator 34",17,-1,NA
"Legislator 35",17,0.565591216087341,NA
"Legislator 36",17,-0.113733142614365,NA
"Legislator 37",17,-0.207923069596291,NA
"Legislator 38",17,-0.356140971183777,NA
"Legislator 39",17,-0.526200830936432,NA
"Legislator 4",17,0.101787634193897,NA
"Legislator 40",17,-0.749032974243164,NA
"Legislator 41",17,-0.28313872218132,NA
"Legislator 42",17,-0.339939475059509,NA
"Legislator 43",17,-0.309038430452347,NA
"Legislator 44",17,-0.639165997505188,NA
"Legislator 45",17,0.0475468635559082,NA
"Legislator 46",17,-0.977649211883545,NA
"Legislator 47",17,-0.576784253120422,NA
"Legislator 48",17,-0.378108024597168,NA
"Legislator 49",17,-0.41041311621666,NA
"Legislator 5",17,-0.562347710132599,NA
"Legislator 50",17,-0.381210118532181,NA
"Legislator 51",17,-0.62139242887497,NA
"Legislator 52",17,-1,NA
"Legislator 53",17,-0.851973950862885,NA
"Legislator 54",17,0.438559591770172,NA
"Legislator 55",17,-0.0713328868150711,NA
"Legislator 56",17,0.344973027706146,NA
"Legislator 57",17,-0.0546589307487011,NA
"Legislator 58",17,0.202998593449593,NA
