"member_id","term","coord1D","se1D","member_name","party"
"14M56632",21,0.470289766788483,0,"강기윤","국민의힘"
"L2I9861C",21,0.635404050350189,0,"강대식","국민의힘"
"C7E79345",21,-0.337671428918839,0,"권칠승","더불어민주당"
"1BX7234U",21,-0.312437325716019,0,"김경만","더불어민주당"
"6399076T",21,-0.309544265270233,0,"김민철","더불어민주당"
"GF286398",21,-0.324863910675049,0,"김병주","더불어민주당"
"ZYP7962W",21,0.431920498609543,0,"김석기","국민의힘"
"JNL7001A",21,0.555396854877472,0,"김선교","국민의힘"
"XSP20229",21,-0.342817336320877,0,"김성환","더불어민주당"
"0W194007",21,-0.32869628071785,0,"김영주","국민의힘"
"LNR7932L",21,-1,0,"김진애","열린민주당"
"Q9H5708M",21,-0.322153806686401,0,"김진표","무소속"
"09I2323E",21,-0.37085571885109,0,"김한정","더불어민주당"
"DAN6731C",21,1,0,"박성중","국민의힘"
"FU87526G",21,0.644544720649719,0,"박수영","국민의힘"
"40S1959J",21,-0.564494252204895,0,"박영순","새로운미래"
"QKO6165V",21,0.44604617357254,0,"박진","국민의힘"
"A2V51235",21,-1,0,"배진교","정의당"
"CAA7713A",21,0.326348572969437,0,"백종헌","국민의힘"
"XR24352K",21,-0.348254978656769,0,"서영석","더불어민주당"
"MR210505",21,0.493103742599487,0,"서일준","국민의힘"
"AFH96856",21,-0.363971203565598,0,"신영대","더불어민주당"
"TST4507I",21,-0.365914672613144,0,"안규백","더불어민주당"
"8FB1535Y",21,-0.454891353845596,0,"어기구","더불어민주당"
"21N57758",21,-0.478588193655014,0,"오영훈","더불어민주당"
"GX38539O",21,-0.319455236196518,0,"유동수","더불어민주당"
"O7R5461J",21,-0.340886116027832,0,"윤후덕","더불어민주당"
"4A067125",21,-0.38197186589241,0,"이광재","더불어민주당"
"HKJ99607",21,-0.35900753736496,0,"이병훈","더불어민주당"
"1X376850",21,0.549576878547668,0,"이영","국민의힘"
"GKD32201",21,-0.44245034456253,0,"이용빈","더불어민주당"
"DAV7257X",21,-0.371332436800003,0,"이원택","더불어민주당"
"3ZR4438W",21,-0.464738190174103,0,"이인영","더불어민주당"
"FDC3144T",21,0.598706126213074,0,"이종성","국민의힘"
"K5F2023J",21,-0.355802237987518,0,"이학영","더불어민주당"
"DPZ7685X",21,0.389485359191895,0,"전봉민","국민의힘"
"BM63269Y",21,-0.319633156061172,0,"전해철","더불어민주당"
"LT72093S",21,-0.35220393538475,0,"정일영","더불어민주당"
"TP066860",21,-0.451381504535675,0,"정정순","더불어민주당"
"NQR1206Q",21,0.292205840349197,0,"정진석","국민의힘"
"CDL93608",21,-0.376936972141266,0,"조응천","개혁신당"
"WJL30106",21,-0.0307003445923328,0,"조정훈","국민의힘"
"I434361W",21,0.460310786962509,0,"조태용","국민의힘"
"A494529E",21,-0.384334355592728,0,"천준호","더불어민주당"
"G152611B",21,0.52564412355423,0,"추경호","국민의힘"
"0VU8517U",21,-0.326906770467758,0,"황희","더불어민주당"
"8P37634C",21,-0.410317093133926,0,"강득구","더불어민주당"
"GX22581L",21,0.703224420547485,0,"강민국","국민의힘"
"P2N50879",21,-0.774916172027588,0,"강민정","더불어민주당"
"60490713",21,-0.354152500629425,0,"강병원","더불어민주당"
"MNZ4401T",21,-0.522292971611023,0,"강선우","무소속"
"WMG57662",21,-0.999503016471863,0,"강은미","정의당"
"5KV96424",21,-0.314422994852066,0,"강준현","더불어민주당"
"TRE2429O",21,-0.377967655658722,0,"강훈식","더불어민주당"
"WCD5518S",21,-0.472245544195175,0,"고민정","더불어민주당"
