"member_id","coord1D","term","party","member_name","aligned","party_bloc"
"T4I4862D",0.907455027103424,22,"사회민주당","한창민",0.629053836686279,"left"
"HHB5652A",0.522781848907471,22,"더불어민주당","허성무",0.378703871614278,"liberal"
"VCP96419",0.483479529619217,22,"더불어민주당","허종식",0.353125446034394,"liberal"
"RJH6314D",0.502268373966217,22,"더불어민주당","황명선",0.36535345358115,"liberal"
"0VU8517U",0.489822715520859,22,"더불어민주당","황희",0.357253668273253,"liberal"
"T2T8225E",0.633184671401978,22,"조국혁신당","강경숙",0.450555366134831,"new_liberal"
"NQO7187X",-0.791548550128937,22,"국민의힘","강선영",-0.476678276512042,"conservative"
"7469929V",-0.738033831119537,22,"국민의힘","구자근",-0.441850248996132,"conservative"
"LG63087O",-0.762517809867859,22,"국민의힘","권영세",-0.457784719013544,"conservative"
"HE08888N",-0.647871255874634,22,"국민의힘","김기웅",-0.383171352616554,"conservative"
"5K93695T",-0.844950556755066,22,"국민의힘","김승수",-0.511432949443295,"conservative"
"HRG9655C",-0.831981897354126,22,"국민의힘","김희정",-0.502992788776824,"conservative"
"OSV9142K",-0.713890016078949,22,"국민의힘","이만희",-0.426137161641138,"conservative"
"PFG2137X",-0.681235551834106,22,"국민의힘","정희용",-0.404885240668949,"conservative"
"L2I9861C",-0.82985931634903,22,"국민의힘","강대식",-0.501611387341505,"conservative"
"9901388T",-0.594178795814514,22,"국민의힘","강명구",-0.348227649071324,"conservative"
"GX22581L",-0.806283354759216,22,"국민의힘","강민국",-0.486267865892391,"conservative"
"42K7317Y",-0.718427896499634,22,"국민의힘","강승규",-0.429090469199901,"conservative"
"HS39431V",-0.769653379917145,22,"국민의힘","고동진",-0.46242863445622,"conservative"
"REG96285",-0.721800982952118,22,"국민의힘","곽규택",-0.431285714731509,"conservative"
"LYY5513O",-0.537746787071228,22,"국민의힘","권영진",-0.311501014050705,"conservative"
"ANS8383S",-0.677875399589539,22,"국민의힘","김대식",-0.402698412876563,"conservative"
"LH97552Q",-0.728027582168579,22,"국민의힘","김도읍",-0.435338060943088,"conservative"
"3BC6890E",-0.623316466808319,22,"국민의힘","김미애",-0.367190798386254,"conservative"
"TCP9838Y",-0.994250893592834,22,"국민의힘","김민전",-0.608599417580913,"conservative"
"VDN5593C",0.369198471307755,22,"더불어민주당","김상욱",0.278749948655443,"liberal"
"1Y73132H",-0.622776389122009,22,"국민의힘","김상훈",-0.36683930928442,"conservative"
"JNL7001A",-0.961567580699921,22,"국민의힘","김선교",-0.587328721559029,"conservative"
"9D939735",-0.785335421562195,22,"국민의힘","김성원",-0.47263469716251,"conservative"
"CNZ51556",-0.453290194272995,22,"국민의힘","김예지",-0.256535640181131,"conservative"
"EPI69383",-0.676326274871826,22,"국민의힘","김용태",-0.401690223741074,"conservative"
"LCZ1711I",-0.601885557174683,22,"국민의힘","김위상",-0.35324330273968,"conservative"
"L5P27909",-0.764736473560333,22,"국민의힘","김은혜",-0.459228652225946,"conservative"
"E1J8836Y",-0.747385203838348,22,"국민의힘","김정재",-0.447936235662811,"conservative"
"N378078V",-0.601884722709656,22,"국민의힘","김종양",-0.35324275965973,"conservative"
"JEZ3130Q",-0.607162177562714,22,"국민의힘","김형동",-0.356677391219768,"conservative"
"SLW27496",-0.935865640640259,22,"국민의힘","나경원",-0.570601587563372,"conservative"
"W4X85128",-1,22,"국민의힘","박대출",-0.612341005686897,"conservative"
"N4R2421C",-0.664599478244781,22,"국민의힘","박덕흠",-0.394058282414269,"conservative"
"VA04150X",-0.666424810886383,22,"국민의힘","박상웅",-0.395246231013162,"conservative"
"X3170462",-0.743463218212128,22,"국민의힘","박성민",-0.44538375989847,"conservative"
"NX534083",-0.903730511665344,22,"국민의힘","박성훈",-0.54968765627712,"conservative"
"Y0X4618N",-0.720795214176178,22,"국민의힘","박수민",-0.430631148226228,"conservative"
"6RD62559",-0.698513746261597,22,"국민의힘","박정하",-0.416130098945046,"conservative"
"G6W8250J",-0.740246117115021,22,"국민의힘","박준태",-0.44329003152606,"conservative"
"6U243644",-0.658269643783569,22,"국민의힘","박형수",-0.389938749454607,"conservative"
"QQP4727N",-0.63523930311203,22,"국민의힘","배준영",-0.374950324709851,"conservative"
"4X525582",-0.664348721504211,22,"국민의힘","배현진",-0.393895086889336,"conservative"
"CAA7713A",-0.62957239151001,22,"국민의힘","백종헌",-0.371262229978928,"conservative"
"QQ429063",-0.729914546012878,22,"국민의힘","서명옥",-0.436566119875421,"conservative"
"L7J93733",-0.581579983234406,22,"국민의힘","서범수",-0.340028189196916,"conservative"
"MR210505",-0.679572999477386,22,"국민의힘","서일준",-0.403803231451703,"conservative"
"P7U7800Z",-0.91167414188385,22,"국민의힘","서지영",-0.554857467068386,"conservative"
"JP222486",-0.785777926445007,22,"국민의힘","서천호",-0.472922684701636,"conservative"
"PYA8594I",-0.687632977962494,22,"국민의힘","안상훈",-0.409048763104549,"conservative"
"JZV5283U",-0.749008476734161,22,"국민의힘","유영하",-0.448992681330988,"conservative"
"KBK8836C",-0.672460973262787,22,"국민의힘","유용원",-0.399174638621898,"conservative"
"ZRF3039U",-0.748414635658264,22,"국민의힘","윤재옥",-0.448606202363813,"conservative"
"ROS6754L",-0.694580435752869,22,"국민의힘","이달희",-0.413570252809957,"conservative"
"WXJ8352N",-0.576289594173431,22,"국민의힘","이성권",-0.336585139897655,"conservative"
"DWK26447",-0.712327480316162,22,"국민의힘","이인선",-0.425120244435026,"conservative"
"HSW1214Q",-0.685960412025452,22,"국민의힘","이종배",-0.407960236927905,"conservative"
"NLS46526",-0.834235846996307,22,"국민의힘","이종욱",-0.50445968651282,"conservative"
"TZP9391O",-0.883438527584076,22,"국민의힘","이철규",-0.536481387179254,"conservative"
"EVH1507C",-0.74546629190445,22,"국민의힘","이헌승",-0.446687384526683,"conservative"
"B7789327",-0.641812801361084,22,"국민의힘","인요한",-0.379228437014872,"conservative"
"X639721U",0.596577107906342,22,"더불어민주당","임미애",0.426730720274456,"liberal"
"EH27538E",-0.693248867988586,22,"국민의힘","임이자",-0.412703652375681,"conservative"
"RAJ1024Z",-0.732311546802521,22,"국민의힘","임종득",-0.438126117031393,"conservative"
"KFM1081G",-0.711962640285492,22,"국민의힘","장동혁",-0.424882802122662,"conservative"
"DAY6557K",-0.712789237499237,22,"국민의힘","정동만",-0.425420761604423,"conservative"
"CGW7415Z",-0.708482325077057,22,"국민의힘","정성국",-0.422617770817497,"conservative"
"8XE7026P",-0.716042995452881,22,"국민의힘","정연욱",-0.427538346703201,"conservative"
"5KV82250",-0.303990304470062,22,"국민의힘","조경태",-0.1593694629792,"conservative"
"ME83002L",-0.791512310504913,22,"국민의힘","조승환",-0.476654691325648,"conservative"
"MQU41854",-0.709397971630096,22,"국민의힘","조은희",-0.423213684688193,"conservative"
"WJL30106",-0.63370031118393,22,"국민의힘","조정훈",-0.37394873011661,"conservative"
"3NI5978A",-0.723886966705322,22,"국민의힘","조지연",-0.432643298231884,"conservative"
"QDU1100U",-0.702018141746521,22,"국민의힘","진종오",-0.418410801985908,"conservative"
"UOS16250",-0.81391966342926,22,"국민의힘","최보윤",-0.491237668096408,"conservative"
"A0P4646G",-0.697294116020203,22,"국민의힘","최형두",-0.415336348806901,"conservative"
"G152611B",-0.706246435642242,22,"국민의힘","추경호",-0.421162626883272,"conservative"
"JQA21112",-1,22,"국민의힘","한기호",-0.612341005686897,"conservative"
"Q918403D",-0.612192273139954,22,"국민의힘","한지아",-0.359951038366098,"conservative"
"M2Q9024I",0.503058969974518,22,"무소속","김종민",0.365867983042217,"independent"
"UQ282145",0.57663768529892,22,"더불어민주당","이재정",0.413753902455406,"liberal"
"GDG1847Z",-0.848509132862091,22,"국민의힘","권성동",-0.513748913889472,"conservative"
"TQP7167T",-0.608945429325104,22,"국민의힘","김건",-0.357837953072619,"conservative"
"X7I4680R",-0.751404881477356,22,"국민의힘","김기현",-0.450552290572711,"conservative"
