"member_id","term","coord1D","se1D","member_name","party"
"W168182V",20,0.233733460307121,0,"김관영","무소속"
"LH97552Q",20,-0.46451985836029,0,"김도읍","국민의힘"
"0W194007",20,0.332186460494995,0,"김영주","국민의힘"
"1MU99298",20,0.258751422166824,0,"김철민","더불어민주당"
"1WE5693J",20,0.309583723545074,0,"김태년","더불어민주당"
"09I2323E",20,0.33870467543602,0,"김한정","더불어민주당"
"SQ36001H",20,0.440243124961853,0,"송기헌","더불어민주당"
"YOG1280B",20,0.0144597291946411,0,"안철수","국민의힘"
"Q6G2914I",20,-0.582781791687012,0,"윤종필","미래한국당"
"DKB8522X",20,0.188243478536606,0,"정인화","무소속"
"AFQ26679",20,-0.255133092403412,0,"주광덕","미래통합당"
"XQ98168F",20,-0.013255744241178,0,"강길부","무소속"
"60490713",20,0.276742070913315,0,"강병원","더불어민주당"
"IH436704",20,-0.248417973518372,0,"강석진","미래통합당"
"9WQ7845Z",20,-0.743492841720581,0,"강효상","미래통합당"
"TRE2429O",20,0.488062500953674,0,"강훈식","더불어민주당"
"6V37131U",20,0.223647519946098,0,"고용진","더불어민주당"
"Q6A9034Q",20,-0.664705872535706,0,"곽대훈","무소속"
"RH454994",20,0.520708084106445,0,"권미혁","더불어민주당"
"C7E79345",20,0.321447730064392,0,"권칠승","더불어민주당"
"B7R2742J",20,0.311360895633698,0,"기동민","더불어민주당"
"ZKU88693",20,0.572337508201599,0,"김경협","더불어민주당"
"OC037566",20,-0.495288968086243,0,"김규환","미래한국당"
"DCR84445",20,-0.00709950225427747,0,"김동철","민생당"
"NTT8182Q",20,0.529447555541992,0,"김민기","더불어민주당"
"QB390802",20,0.426223963499069,0,"김병관","더불어민주당"
"GFF1986K",20,0.295009195804596,0,"김병욱","더불어민주당"
"DTG4846A",20,-0.468928307294846,0,"김선동","미래통합당"
"RCF90176",20,0.218755945563316,0,"김성식","무소속"
"5K343700",20,0.032815258949995,0,"김수민","민생당"
"8WC7967F",20,-0.650064527988434,0,"김승희","미래한국당"
"5765663F",20,0.253169298171997,0,"김영진","더불어민주당"
"7BM2933Y",20,0.479720413684845,0,"김영호","더불어민주당"
"6RP89579",20,0.287871420383453,0,"김정우","더불어민주당"
"I0F2578R",20,0.869623184204102,0,"김종대","정의당"
